,Column,Fuel,Technology,Outputactivity,ModeofOperation
452,0,EL3_128_1,BACKSTOP,0.865,1
453,0,EL3_128_0,TRLV_128_0,0.865,1
454,0,EL3_128_0,BACKSTOP,0.865,1
455,0,EL3_128_1,KEEL00d_128,0.865,1
456,0,EL3_128_1,SOPV12h_128_1,1.0,1
457,0,EL3_128_0,SOPV12h_128_0,1.0,1
458,0,EL3_128_1,SOPV8h_128_1,1.0,1
459,0,EL3_128_0,SOPV8h_128_0,1.0,1
460,0,EL3_128_1,SOPV_128_1,1.0,1
461,0,EL3_128_0,SOPV_128_0,1.0,1
462,0,EL3_131_1,TRLV_131_1,0.865,1
463,0,EL3_131_1,BACKSTOP,0.865,1
464,0,EL3_131_0,TRLV_131_0,0.865,1
465,0,EL3_131_0,BACKSTOP,0.865,1
466,0,EL3_131_1,KEEL00d_131,0.865,1
467,0,EL3_131_1,SOPV12h_131_1,1.0,1
468,0,EL3_131_0,SOPV12h_131_0,1.0,1
469,0,EL3_131_1,SOPV8h_131_1,1.0,1
470,0,EL3_131_0,SOPV8h_131_0,1.0,1
471,0,EL3_131_1,SOPV_131_1,1.0,1
472,0,EL3_131_0,SOPV_131_0,1.0,1
473,0,EL3_134_1,TRLV_134_1,0.865,1
474,0,EL3_134_1,BACKSTOP,0.865,1
475,0,EL3_134_0,TRLV_134_0,0.865,1
476,0,EL3_134_0,BACKSTOP,0.865,1
477,0,EL3_134_1,KEEL00d_134,0.865,1
478,0,EL3_134_1,SOPV12h_134_1,1.0,1
479,0,EL3_134_0,SOPV12h_134_0,1.0,1
480,0,EL3_134_1,SOPV8h_134_1,1.0,1
481,0,EL3_134_0,SOPV8h_134_0,1.0,1
482,0,EL3_134_1,SOPV_134_1,1.0,1
483,0,EL3_134_0,SOPV_134_0,1.0,1
484,0,EL3_139_1,TRLV_139_1,0.865,1
485,0,EL3_139_1,BACKSTOP,0.865,1
486,0,EL3_139_0,TRLV_139_0,0.865,1
487,0,EL3_139_0,BACKSTOP,0.865,1
488,0,EL3_139_1,KEEL00d_139,0.865,1
489,0,EL3_139_1,SOPV12h_139_1,1.0,1
490,0,EL3_139_0,SOPV12h_139_0,1.0,1
491,0,EL3_139_1,SOPV8h_139_1,1.0,1
492,0,EL3_139_0,SOPV8h_139_0,1.0,1
493,0,EL3_139_1,SOPV_139_1,1.0,1
494,0,EL3_139_0,SOPV_139_0,1.0,1
495,0,EL3_140_1,TRLV_140_1,0.865,1
496,0,EL3_140_1,BACKSTOP,0.865,1
497,0,EL3_140_0,TRLV_140_0,0.865,1
498,0,EL3_140_0,BACKSTOP,0.865,1
499,0,EL3_140_1,KEEL00d_140,0.865,1
500,0,EL3_140_1,SOPV12h_140_1,1.0,1
